,user,original_creator,tweet,followers,created_at,listed_count,location,friends_count,tweet_final
0,MontoGawe,MontoGawe, populist demagogues and then there are rational statesmen. #CoronaVirus #Statesmen #Leaders #Singapore https://t.co/E6zA7lYXTA ,78.0,2020-02-09 04:43:05,4.0,,100.0, populist demagogues and then there are rational statesmen. #CoronaVirus #Statesmen #Leaders #Singapore https://t.co/E6zA7lYXTA 
1,SaintgeorgeT,SaintgeorgeT, @PSandovalShow 1m Fixed: @JerusalemJones @JoeSikorraShow @PSandovalShow Please pray… https://t.co/YqPZx3jmCp ,168.0,2020-02-09 04:43:05,0.0,,176.0, @PSandovalShow 1m Fixed: @JerusalemJones @JoeSikorraShow @PSandovalShow Please pray… https://t.co/YqPZx3jmCp 
2,KateMagdalen,KateMagdalen, you for the truth! I fear things are much much worse than they admit.#coronavirus absurdly inf… https://t.co/aFFeTt5lrA ,629.0,2020-02-09 04:42:58,13.0,,981.0, you for the truth! I fear things are much much worse than they admit.#coronavirus absurdly inf… https://t.co/aFFeTt5lrA 
3,FredWilliams77,FredWilliams77," This virus is airborne and lives on surfaces up to 9 days. If you are alive, you will eve… https://t.co/xlsHJtYGQU ",3966.0,2020-02-09 04:42:54,97.0,,1258.0," This virus is airborne and lives on surfaces up to 9 days. If you are alive, you will eve… https://t.co/xlsHJtYGQU "
4,NeoUnrealist,NeoUnrealist, inhuman. 1 guy was let on the boat with coronavirus and they're going to leave almost 4k people on this flo… https://t.co/t121DwwgWs ,13234.0,2020-02-09 04:42:45,25.0,,743.0, inhuman. 1 guy was let on the boat with coronavirus and they're going to leave almost 4k people on this flo… https://t.co/t121DwwgWs 
5,Math_R_Pal,Math_R_Pal, Feel so sorry for him &amp; family. Seems Chinese people have accepted the brutality of #coronavirus th… https://t.co/pyTg3YzKKf ,197.0,2020-02-09 04:42:42,26.0,Mother Earth,318.0, Feel so sorry for him &amp; family. Seems Chinese people have accepted the brutality of #coronavirus th… https://t.co/pyTg3YzKKf 
6,le6f3,le6f3, just won't leave the people alone. why are they commandeering mask manufacturing facilities?! surely… https://t.co/Yfq0JuX6Tp ,31.0,2020-02-09 04:42:36,0.0,,147.0, just won't leave the people alone. why are they commandeering mask manufacturing facilities?! surely… https://t.co/Yfq0JuX6Tp 
7,PrincipalJ,PrincipalJ, you always are the best at customer service! I was so worried about how to cancel/revise my international… https://t.co/NINayyNtBb ,29985.0,2020-02-09 04:42:34,784.0,rural Wisconsin,5442.0, you always are the best at customer service! I was so worried about how to cancel/revise my international… https://t.co/NINayyNtBb 
8,opedanderson,opedanderson, belief that China is rounding up thousands of dissidents under the guise of this outbreak #coronavirus https://t.co/A6Vq4sAqDD ,1625.0,2020-02-09 04:42:34,41.0,,2095.0, belief that China is rounding up thousands of dissidents under the guise of this outbreak #coronavirus https://t.co/A6Vq4sAqDD 
9,thepointwithlx,thepointwithlx, release of the trend of the #coronavirus on Chinese social media based on official data. The yel… https://t.co/btjC8sbAhB ,59080.0,2020-02-09 04:42:29,205.0,"Beijing, China",227.0, release of the trend of the #coronavirus on Chinese social media based on official data. The yel… https://t.co/btjC8sbAhB 
10,CAsliwali,CAsliwali, @pid_gov Dear hoomans your nukes can't defeat me. Save your children's in China . You… https://t.co/bZD7iPEuc8 ,0.0,2020-02-09 04:42:27,0.0,,9.0, @pid_gov Dear hoomans your nukes can't defeat me. Save your children's in China . You… https://t.co/bZD7iPEuc8 
