,user,location,tweet,created_at,followers,listed_count,friends_count,original_creator,retweet,user_combined
0,YoungMonk3,," of a Chinese nurse in a Coronavirus-hit hospital in Henan Province gives her sobbing daughter an ""Ai… ",2020-02-09 04:43:09,876,2,2199,AAA,0,YoungMonk3 - Sumit_singh77
1,WeeWee47291448,," data show very high air pollution in Wuhan. As there is no more factory or car traffic, we can assume t… ",2020-02-09 04:43:09,1135,1,525,AAA,0,WeeWee47291448 - ImperiumKnights
2,PamFarrar3,," ""China can't take it"" ▶️ supply chain is breaking down ▶️ #H4N1 &amp; #SwineFever persist ▶️ #coro… ",2020-02-09 04:43:08,1384,3,768,AAA,0,PamFarrar3 - dmon4ever
3,nancy_porteous,"Ottawa, Ontario", thanks for the diligent work by all staff and partners involved in welcoming home #Canadians from #Hubei province… ,2020-02-09 04:43:07,498,11,788,AAA,0,nancy_porteous - CPHO_Canada
4,Autumnlilyx1,," official from S. China’s Guilin, who was infected with novel #coronavirus pneumonia, was filed and invest… ",2020-02-09 04:43:06,31,1,694,AAA,0,Autumnlilyx1 - globaltimesnews
5,ErinJHolmes,I live in my heart," deaths due to the #coronavirus #nCoV2019, the probability that an infected person dies (the case fatality ris… ",2020-02-09 04:43:06,2030,63,819,AAA,0,ErinJHolmes - _MiguelHernan
6,shahirashh,healing, of Wuhan. It’s literally a Ghost Town. #Wuhan #CoronaVirus https://t.co/9F2cVanh16 ,2020-02-09 04:43:06,867,2,493,AAA,0,shahirashh - Ooranjan
7,LanganMary,, Sounds of anger and hope. #Coronavius #CoronaOutbreak #coronavirus #coronaviruschina #Wuhan #WuhanViru… ,2020-02-09 04:43:05,9048,6,9884,AAA,0,LanganMary - Mehakve16865407
8,MontoGawe,, and then there are rational statesmen. #CoronaVirus #Statesmen #Leaders #Singapore https://t.co/E6zA7lYXTA ,2020-02-09 04:43:05,78,4,100,AAA,0,MontoGawe - AAA
9,SaintgeorgeT,, Fixed: @JerusalemJones @JoeSikorraShow @PSandovalShow Please pray… https://t.co/YqPZx3jmCp ,2020-02-09 04:43:05,168,0,176,AAA,0,SaintgeorgeT - AAA
10,JustSeyi,Lagos ," currently at war, fighting the unknown enemy. Chinese people need all the moral support now. Let’s remember them in… ",2020-02-09 04:43:05,4177,20,4922,AAA,0,JustSeyi - YemieFash
11,EKhan05,Oman," is super contagious☣️ In #China, the nucleic acid of #coronavirus was found on a door HANDLE of a patie… ",2020-02-09 04:43:05,17,0,158,AAA,0,EKhan05 - CoronaVirusInt
12,jasse331,," an infected man having a nervous breakdown ""I'm desperate! I feel like killing someone right now!"" Then he… ",2020-02-09 04:43:05,8,0,121,AAA,0,jasse331 - HimalayaGlobal
13,sereneava,," from May 2018 says Darwin's homeless rate is 12 times the national average So, why wasn't the abandoned I… ",2020-02-09 04:43:04,491,0,1655,AAA,0,sereneava - BelindaJones68
14,ktm300x,United States, to ban wildlife trade completely during the the period of prevention and control of the novel #coronavir… ,2020-02-09 04:43:03,18,2,547,AAA,0,ktm300x - globaltimesnews
15,rohitv_d,"Mumbai, India", for the Indian Twitteratis who WERE SHEDDING TEARS for Pakistan Students stuck in #Wuhan &amp; literally making emotion… ,2020-02-09 04:43:03,28,1,57,AAA,0,rohitv_d - rose_k01
16,Jennife45652136,," same time, using the same scale - notice that the emissions are heightened across the board. Only other city that… ",2020-02-09 04:43:02,142,0,931,AAA,0,Jennife45652136 - inteldotwav
17,KaYarahmedov,, desperately asking for help on the balcony: Help! My husband is dying. Someone please help me! I can’t do anyt… ,2020-02-09 04:43:02,275,7,4793,AAA,0,KaYarahmedov - Quresh_Moin
18,doc_tdg,"Ohio, USA", be reason why you see video clips of #Wuhan citizens violently resisting being removed from their homes and forced in… ,2020-02-09 04:43:01,8075,3,8137,AAA,0,doc_tdg - idannyb
19,Agra_rian,"Worland, WY"," wears an astronaut outfit to protect against novel #coronavirus while taking a flight in Beijing, #China. #NCP h… ",2020-02-09 04:43:01,228,0,517,AAA,0,Agra_rian - globaltimesnews
20,momibertacchi,Abu Dhabi, 🌬- Confirmed routes of the novel #coronavirus now includes aerosol transmission. “Aerosol transmission… ,2020-02-09 04:43:00,157,3,397,AAA,0,momibertacchi - DrEricDing
21,terence_fdes,Mumbai, Epoch Time interviewed a Wuhan crematorium staff- - 11 burner 50 minutes/body - two shifts each staff sl… ,2020-02-09 04:42:59,2331,24,4973,AAA,0,terence_fdes - htommy998
22,aarontamnz,New Zealand," big city next to #Beijing, with a population of 11M, announced lockdown on Feb 6. Over 80 cities in #China… ",2020-02-09 04:42:59,539,5,708,AAA,0,aarontamnz - jenniferatntd
