,user,location,tweet,created_at,original_creator,retweet
0,EvilMorty242420,,"RT @Stats_Alerts: BREAKING:
20 French citizens evacuated from Wuhan, China are already showing symptoms of #coronavirus. 

#Wuhan #china #W…",2020-02-02 20:15:38,Stats_Alerts,1
1,BruceCr01405174," Queensland, Australia","RT @RDNS_TAI: Last week #scottyfrommarketting told the National Press Club 

1. McKenzie did nothing wrong
2. Clubs that missed out on gran…",2020-02-02 20:15:37,RDNS_TAI,1
2,WDEL,"Wilmington, DE",RT @acherry13: #BREAKING | Delaware resident tests NEGATIVE for #coronavirus: https://t.co/Su1Fv0l3XO | #netDE https://t.co/bwXTt6stIr,2020-02-02 20:15:37,acherry13,1
3,TadofMiami,,RT @jenniferatntd: Notice about stock market in #China. No one is allowed to sell when the market resume on Feb. 3.  Biding price to be con…,2020-02-02 20:15:37,jenniferatntd,1
4,RobertoDreamer,Peru,"RT @PDChina: The #1st death outside China from the new #coronavirus was recorded Sunday in the Philippines, as countries around the world e…",2020-02-02 20:15:37,PDChina,1
5,abdo22444,Dubai - UAE ,#wuhan #coronavirus #china #OurHeartWithYou #apparel #fashion Get my art printed on awesome products. Support me at… https://t.co/SCe2NXhJ92,2020-02-02 20:15:37,,1
6,tvdinner2,GEO 🌎 GLOBAL,#BREAKING:  ** FIRST NEW VIRUS DEATH OUTSIDE CHINA **   Death in #Philippines said to be first #Coronavirus outside… https://t.co/FKVI25t6O2,2020-02-02 20:15:36,,1
7,Myrapetite3,"Nakuru, Kenya","RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:15:36,TomValletti,1
8,BaroninV22,,"RT @den_tyske: “#Muslim cleric’s fatwa permits #Muslims to celebrate #coronavirus spread and pray for “annihilation” of Chinese people”
Rea…",2020-02-02 20:15:36,den_tyske,1
9,Ayitariq,,"RT @Asad83M: Reality that should be spread regarding #CoronaVirus, no hopes from Pakistani media, but we can atleast use social media power…",2020-02-02 20:15:35,Asad83M,1
10,anshirepiola,"Mendoza, Argentina",RT @UNHumanRights: It's understandable to be alarmed by #Coronavirus. But no amount of fear can excuse prejudice &amp; discrimination against p…,2020-02-02 20:15:35,UNHumanRights,1
11,peterdukephoto,Commiefornia,I’m rereading this and pondering the combination of memetic viruses with biological viruses (as if either are real)… https://t.co/6aWiPKeqPD,2020-02-02 20:15:35,,1
12,Gotfan55,Ludowici ga ,RT @PneumoniaWuhan: Coronavirus: Chinese health experts warn patients can get reinfected | South China Morning Post https://t.co/c74nEDHhj6…,2020-02-02 20:15:35,PneumoniaWuhan,1
13,mo_hashemi,Islamic Republic of Iran,"RT @CarlNasman: EXCLUSIVE: @dwnews speaks with one of 115 people currently in quarantine after being evacuated from Wuhan, China due to the…",2020-02-02 20:15:35,CarlNasman,1
14,OpitzPatty,Donde sea,"RT @howroute: Thai doctors have seen success in treating severe cases of the #coronavirus with combination, a cocktail of drugs used to tre…",2020-02-02 20:15:34,howroute,1
15,pmsantos_viro,"Greifswald, Germany","RT @PDChina: The #1st death outside China from the new #coronavirus was recorded Sunday in the Philippines, as countries around the world e…",2020-02-02 20:15:34,PDChina,1
16,Pillai_Pri,Wurundjeri country,"RT @V2019N: #HongKong scientists: 
- ~75,815 people in Wuhan infected with the #coronavirus by Jan. 22
- R0 ~2.68 
-epidemic doubling every…",2020-02-02 20:15:34,V2019N,1
17,SOSHK_5Demands,"Melbourne, Victoria","RT @cheungneo: While #MeiFu’s residents were against #CarrieLam to set up #coronavirus quarantining camp nearby, evil #HKPoliceTerrorists i…",2020-02-02 20:15:32,cheungneo,1
18,PatiM2,7th ring of Hades pa. ,"RT @LedicarusMedia: @FPVaughanIII Speaking as a human being, I find it hard to believe that out of 65,000,000 people only 11,500 are infect…",2020-02-02 20:15:32,LedicarusMedia,1
19,frad_fradi,Ζωγράφου,RT @sotiridi: And another video footage of Chinese government officials sealing of a door of a resident living in a apartment in the #Hubei…,2020-02-02 20:15:32,sotiridi,1
20,alononi13,Costa Rica,"RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:15:32,TomValletti,1
21,ai1qaz2wsx3edc,purgatorium or hell not sure ,"RT @livecrisisnews: #BREAKING: 20 French citizens evacuated from China have symptoms of coronavirus, according to AFP. 

#NOTE: If this man…",2020-02-02 20:15:32,livecrisisnews,1
22,Arslaan________,مملکت خداداد پاکستان ,"RT @Gwadar_Pro: #Coronavirus  #IronBrothers
The #Pakistani government has allocated 300,000 medical masks, 800 hazmat suits, 6,800 pairs of…",2020-02-02 20:15:31,Gwadar_Pro,1
23,CelistinaY,,"RT @AmbLINSongtian: #Coronavirus. This is a commendable story of China-South Africa and Africa brotherhood, friendship and solidarity to of…",2020-02-02 20:15:31,AmbLINSongtian,1
24,Lampi_NRW,"Dresden, Sachsen, Germany ",RT @BiologistDan: As the #coronavirus spreads please listen to reputable sources for information... Then double check the information. In C…,2020-02-02 20:15:31,BiologistDan,1
25,BaiAnNa2014,,@TruthFactoryCat #coronavirus is fake! This is 4th video I've seen. @TruthFactoryCat #CoronavirusOutbreak #Debunked… https://t.co/GtA9c99R0w,2020-02-02 20:15:30,,1
26,patti_mint,"Here, USA",White House national security adviser Robert O’Brien said Sunday that the Chinese regime hasn’t yet accepted an off… https://t.co/QZu7HOltQr,2020-02-02 20:15:28,,1
27,kingofchohans,"Lahore, Pakistan","RT @DevelopmentPk: Very glad to report that medical relief supplies from #Pakistan have arrived for affectees of #CoronaVirus in #China

🔹…",2020-02-02 20:15:27,DevelopmentPk,1
28,aabdraheem,Cloud9,"RT @Barbara96913515: Facing a severe shortage of masks amid #coronavirus outbreak, Chinese people have come up with unique ideas to make th…",2020-02-02 20:15:26,Barbara96913515,1
29,Ian_SaaS,"Tennessee, USA",RT @CGTNOfficial: Pictures of nurses' hands shriveled and scarred after days of fighting the #coronavirus on the front lines are going vira…,2020-02-02 20:15:26,CGTNOfficial,1
30,onthesidelinez,Louisiana Girl,RT @deja_bull: People are buying the wrong N95 masks and wasting a lot of $$$. Keyword is FLUID RESISTANCE. #coronavirus https://t.co/Gu777…,2020-02-02 20:15:25,deja_bull,1
31,JazzyJo92848567,USA,"RT @CatesDuane: 4 Days after the CDC is able to get access to a #Coronavirus 

Patient, this Chemistry Chair, a CRACK

Bio-Chemist is arres…",2020-02-02 20:15:24,CatesDuane,1
32,Ox00000000,"█▄ █▄█ █▄ ▀█▄,","RT @CarolYujiaYin: 🟩 Chengdu #earthquake 

🟥 Wuhan #coronavirus 

🟨 Changsha #H5N1 

⬜️ Chongqing #scared 

Shared by a friend from #Chongq…",2020-02-02 20:15:22,CarolYujiaYin,1
33,Beanster101,,RT @CDCofBC: 1/11 There are several misconceptions on social media currently around how #coronavirus is transmitted. Please allow us to cle…,2020-02-02 20:15:22,CDCofBC,1
34,veneranezir1,Kosovo,"RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:15:22,TomValletti,1
35,TruthSpeaksSo,#US #AP #TS #KA #India,"RT @TruthSpeaksSo: @nailainayat Pakistan is not only a bad country for persecuted Hindus, Sikhs, Christians but even for their own Muslim #…",2020-02-02 20:15:21,TruthSpeaksSo,1
36,therealSperkin,United States,"RT @ASBreakingNews: URGENT: 20 French citizens evacuated from #Wuhan-#China are already showing symptoms of #coronavirus.  

#france",2020-02-02 20:15:21,ASBreakingNews,1
37,strawberryannaa,Mike stan acc ,RT @UNHumanRights: It's understandable to be alarmed by #Coronavirus. But no amount of fear can excuse prejudice &amp; discrimination against p…,2020-02-02 20:15:19,UNHumanRights,1
38,xoxokinsey,,"RT @MamaDoctorJones: Just last week the virus killed 14 children.

Now total deaths since October are up to ~10,000.

This is Influenza.

C…",2020-02-02 20:15:17,MamaDoctorJones,1
39,Cannibal_Sauce,"""Don't worry, boys, we'll weather this storm of approval and come out as hated as ever.""  Saul Alinsky","RT @ChinaDaily: China's ambassador to the US stressed that prevention, control and people's well-being are top priorities for China in figh…",2020-02-02 20:15:17,ChinaDaily,1
40,roshanmadhav4,,RT @RT_com: #Wuhan hospital workers sing to the #coronavirus patients to keep their spirit up https://t.co/NEvSPEmQm1,2020-02-02 20:15:17,RT_com,1
41,danurvina,,"RT @zahranc: Visual representation of Global spread of #CoronaVirus

 https://t.co/itRgCVGrK9",2020-02-02 20:15:16,zahranc,1
42,uncleblz,new jersey,RT @GestriLoris: Bill Gates #CoronaVirus,2020-02-02 20:15:16,GestriLoris,1
43,TheScri76057990,"England, United Kingdom","RT @KathyConWom: Epidemic to Pandemic: ""The #Chinese resent critical comments from outsiders. It’s understandable, given #China’s treatment…",2020-02-02 20:15:16,KathyConWom,1
44,hausoflia,,"RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:15:15,TomValletti,1
45,NickNick711,United States 🇺🇸,"RT @AGWillliamBarr: PUBLIC SERVICE ANNOUNCEMENT
The #Coronavirus is responsible for the death of over 300 people. At this rate, the Coronav…",2020-02-02 20:15:15,AGWillliamBarr,1
46,Emiisama,,"RT @Itz_mukee: Funny and useful at the same time. Stay safe 
#coronavirus #CoronavirusOutbreak https://t.co/d9I8FSotuI",2020-02-02 20:15:14,Itz_mukee,1
47,anitaicostello,,"RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:15:13,TomValletti,1
48,doylenetexrose,"Colorado, USA","RT @GlobalTimesBiz: Chinese securities watchdog tries to reassure markets about the impact of #coronavirus, saying that A-shares' long-term…",2020-02-02 20:15:13,GlobalTimesBiz,1
49,kiksmom,"Pennsylvania, USA",No masks online or in stores but eBay has you covered lol. Hopefully everyone got what they could while they still… https://t.co/2K0nIJbVBL,2020-02-02 20:15:12,,1
50,muffmuff5,United States,RT @golamsarwarbd: Always by your side! A police officer in Wuhan carried a 68-year-old man who is suspected of having #coronavirus on his…,2020-02-02 20:15:12,golamsarwarbd,1
51,MimaMercedez,I am inevitable 💀,...need to read about how that works on #Coronavirus,2020-02-02 20:15:10,,1
52,hajous,"Abha, Kingdom of Saudi Arabia",RT @PreventionTips: Suggested cleaning and prevention methods for #2019nCoV based on the efficacy of these products against similar viruses…,2020-02-02 20:15:10,PreventionTips,1
53,LordsofSummer1,"Sitka, Alaska",RT @golamsarwarbd: Always by your side! A police officer in Wuhan carried a 68-year-old man who is suspected of having #coronavirus on his…,2020-02-02 20:15:10,golamsarwarbd,1
54,FathaHicham,Beirut,RT @cjmiller000: Nighttime arrests of people breaking quarantine.  #coronavirus #outbreak https://t.co/rLfssPWTul,2020-02-02 20:15:09,cjmiller000,1
55,ChriswBox,"California, USA","RT @CoronaVirusFlu: Update: With the US requiring citizens traveling from China be quarantined, the Pentagon will provide housing for up to…",2020-02-02 20:15:09,CoronaVirusFlu,1
56,2MFuture,"Detroit, MI USA 753-847024-606","RT @IsChinar: Seems many westerns dont understand why the numbers are so low...please read this thread if you are curious. 

#coronavirusaf…",2020-02-02 20:15:08,IsChinar,1
57,conornolan7,"London, England","RT @SaadAbedine: Medical officers sprayed Indonesian nationals with antiseptic as they arrived from Wuhan, #China 🇨🇳 center of the #coronav…",2020-02-02 20:15:08,SaadAbedine,1
58,MangMangDDAENG,"Fife, Scotland","RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:15:08,TomValletti,1
59,farrahraja,"London, United Kingdom","RT @SarahOwen_: Coronavirus fears have not just fuelled racism and hostility, it’s lifted the lid on the ugly anti-chinese/East Asian senti…",2020-02-02 20:15:07,SarahOwen_,1
