,user,original_creator,tweet_final
74,0aisdfghjk,0aisdfghjk, to translate some posts on Chinese social media into English. I hope it can help the people who cares to… https://t.co/oA4O3gtun6 
360,101stmonk3y,101stmonk3y, no need to test citizens evacuated from Wuhan for novel #coronavirus as they are healthy https://t.co/shNOMIRvii 
2966,Flipped54407650,1AbbasiH,RT
567,1AbbasiH,1AbbasiH," Tottenham players think about walking off the pitch to #SayNoToRacism, might someone please remind them o… https://t.co/DGQG36uL68 "
5216,1Whatever_Works,1Whatever_Works, Very scary RT @TellyGunge: Residents are welded inside their apartment blocks and left to die. The Chinese Communist… 
921,jeanettetanja,1Whatever_Works,RT
1467,lizanatallia,2019_nCoV_stats,RT
4120,xcz54464815,2019_nCoV_stats,RT
5438,2019_nCoV_stats,2019_nCoV_stats, BREAKING: Singapore reports 7 new cases of #coronavirus. Total cases in Singapore: 40 
5994,2020WriteIn,2020WriteIn, Curious how China's CCP fakes the #coronavirus data? They used the same method with their organ donor statistics last yea… 
3716,azim_malia,2020WriteIn,RT
860,aramackid,2covet,RT
5188,2covet,2covet," Hey #America, Thanks for ensuring the next global recession is coming our way ASAP. Cheers! Now watch how #Trump will blame thi… "
20,2dialogue,2dialogue, has now killed more people worldwide than SARS https://t.co/NoVN60aK8D 
142,3littlebears3,3littlebears3, @IsChinar I know! I’m currently recovering from an upper respiratory infection so… https://t.co/2uDcDCXMK7 
1403,PhilMarsom,4ReUnitedStates,RT
4493,PhyIis,4ReUnitedStates,RT
5412,4ReUnitedStates,4ReUnitedStates, @PhyIis @Thrill3rrr @LTorabpour @BoomChickaNow2 @IsChinar Add the fact #Shanghai government is now saying #nCoV_2019 i… 
4203,travel_biz_news,78tiger,RT
6082,78tiger,78tiger, How Much Damage Will #Coronavirus Do To The #Travel Industry? https://t.co/eGeFz0pKfq 
5590,7SealsOfTheEnd,7SealsOfTheEnd, Dr. Robert Siegel: #Coronavirus epidemic could be contained in months – Global pandemic unlikely https://t.co/oYWNzQxO… 
1948,TheLookoutPost,7SealsOfTheEnd,RT
16,7of945443833,7of945443833, #TrumpIsInsane #republicans Bush and Obama pushed for research like this that cou… https://t.co/VhgDBMKodw 
5896,988Patrick,988Patrick, It’s not a joke . Share guys and stay safe #coronavirus https://t.co/nmcciR8up3 
3187,frsbdn,988Patrick,RT
3628,JanReza_RD,988Patrick,RT
2425,RichardOHanlon4,ABSCBNNews,RT
5727,ABSCBNNews,ABSCBNNews," JUST IN: The death toll in the novel #coronavirus outbreak in China rises to 803, an official says | via @AFP https://t.co/… "
4422,buzzingfritzbee,ABSCBNNews,RT
6000,ABetterYouToda1,ABetterYouToda1, 1/ Hubei government updates on containing novel #coronavirus press conference Feb 7/20 A few big takeaways https://t… 
3736,bmiloy,ABetterYouToda1,RT
3027,Copperboy4,ACEL84,RT
2812,wininmad,ACEL84,RT
3306,geekmom13,ACEL84,RT
4275,AizzatNazran,ACEL84,RT
2092,elishax33,ACEL84,RT
4797,BbpDemand,ACEL84,RT
699,jayteemuro,ACEL84,RT
2321,ibnalkhattap,ACEL84,RT
4902,BlueZorro,ACEL84,RT
3662,rub_villarreal,ACEL84,RT
1392,rop_myron,ACEL84,RT
3288,kimber7272,ACEL84,RT
3807,MichelleWasik,ACEL84,RT
5096,ACEL84,ACEL84, Residents are welded inside their apartment blocks and left to die. The Chinese Communist Party is lying to the world about the… 
3945,kokomojo1978,ACEL84,RT
2082,Tusk8rman,ACEL84,RT
4828,DavidBlack2018,ACEL84,RT
2595,TheChameleon86,ACEL84,RT
2469,NawkarBhushan,ACEL84,RT
